VEHICLE_OCCUPANTS,LICENSED?,NUMBER OF PERSONS INJURED,FATAL?,VEHICLE_AGE,VEHICLE_COMPANY,FORD?,FEMALE?,DAYTIME?
1,0,0,0,6,MITS,0,0,1
1,1,0,0,19,FORD,1,0,0
1,1,0,0,3,BMW,0,0,1
1,1,0,0,3,HYUN,0,0,1
1,1,0,0,5,FORD,1,0,1
1,1,0,0,2,CHEV,0,0,0
1,1,0,0,4,FORD,1,0,0
1,1,0,0,6,TOYT,0,1,0
3,1,0,0,6,TOYT,0,0,0
2,1,0,0,2,NISS,0,1,1
2,1,0,0,10,HOND,0,0,0
1,1,0,0,11,NISS,0,0,1
1,1,0,0,5,TOYT,0,0,1
1,1,0,0,1,LEXS,0,0,1
1,1,0,0,1,JEEP,0,1,1
1,1,0,0,8,FORD,1,0,0
1,1,0,0,21,ACUR,0,0,1
3,1,0,0,3,INFI,0,1,0
1,1,0,0,18,MAZD,0,1,0
2,1,0,0,8,HIMO,0,0,1
1,1,0,0,3,ACUR,0,0,1
1,1,0,0,3,INFI,0,0,1
1,1,0,0,3,CHEV,0,0,1
1,1,0,0,11,NISS,0,0,1
2,1,0,0,9,MNNI,0,0,1
1,1,0,0,1,TOYT,0,0,0
3,0,0,0,1,TOYT,0,1,1
1,0,0,0,11,NISS,0,0,1
1,1,0,0,24,CADI,0,0,0
3,1,0,0,4,TOYT,0,0,1
3,1,0,0,11,NISS,0,1,1
1,0,0,0,18,TOYT,0,0,0
1,1,0,0,4,HONDA,0,0,0
1,1,0,0,1,HOND,0,1,1
1,0,0,0,1,FORD,1,0,0
1,1,0,0,9,TOYT,0,0,1
1,1,0,0,8,TOYT,0,0,0
1,0,0,0,1,TOYT,0,0,1
1,0,0,0,8,CHEV,0,0,1
2,1,0,0,8,HYUN,0,0,0
2,1,0,0,1,INFI,0,1,1
1,1,0,0,13,HOND,0,0,1
1,1,0,0,8,DODG,0,0,1
1,1,0,0,15,CHEV,0,0,1
1,1,0,0,9,HOND,0,0,0
1,1,0,0,5,TOYT,0,0,0
1,1,0,0,11,BMW,0,0,0
6,1,0,0,4,FORD,1,1,0
1,1,0,0,10,NISS,0,0,0
2,1,0,0,5,VOLK,0,1,0
3,1,0,0,1,HOND,0,0,0
1,1,0,0,7,VOLV,0,0,0
2,1,0,0,1,SMRT,0,1,0
1,1,0,0,1,ISU,0,0,0
1,1,0,0,13,BUIC,0,1,1
1,1,0,0,2,MERZ,0,0,1
1,1,0,0,1,NISS,0,0,1
1,1,0,0,2,LEXS,0,1,1
1,1,0,0,27,CHEV,0,0,1
1,1,0,0,2,PTRB,0,0,0
2,1,0,0,7,HOND,0,1,1
1,1,0,0,1,INFI,0,0,1
1,1,0,0,3,CHEV,0,0,1
1,1,0,0,11,LINC,0,0,1
2,1,0,0,7,NISS,0,0,1
1,1,0,0,6,ACUR,0,0,0
1,1,0,0,11,TOYT,0,1,1
1,1,0,0,1,GMC,0,0,1
1,1,0,0,11,CHRY,0,0,1
2,1,0,0,3,HOND,0,0,1
1,1,0,0,10,TOYT,0,1,1
1,1,0,0,12,NISS,0,0,1
1,1,0,0,6,HOND,0,0,1
2,1,0,0,1,TOYT,0,0,1
1,1,0,0,3,BMW,0,0,1
1,1,0,0,2,FORD,1,0,1
1,1,0,0,2,TOYT,0,0,0
1,1,0,0,31,CHEV,0,0,1
4,1,0,0,1,JEEP,0,0,1
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,5,NE/FL,0,0,1
1,1,0,0,15,CHRY,0,1,0
2,1,0,0,14,LINC,0,0,0
1,1,0,0,13,DODG,0,0,1
2,1,0,0,3,FORD,1,0,0
1,1,0,0,10,HOND,0,0,1
2,1,0,0,2,VOLK,0,1,1
3,1,0,0,2,TOYT,0,1,1
2,1,0,0,10,MERC,0,0,0
1,1,0,0,1,TOYT,0,0,1
